contract_id,agency,vendor_clean,n_items,n_awards,n_changes,first_item_date,last_item_date,original_approved_usd,later_approved_usd,total_approved_usd,growth_usd,growth_pct,months_to_first_change,in_growth_analysis,exclusion_reason,multi_vendor
F10B9400034,DIT,business solutions group,1,0,1,2020-06-17,2020-06-17,,319560.0,319560.0,,,,0,no original award inside the window - only later changes were captured,0
F50B0600006,DIT,ernst and young,2,0,2,2023-06-07,2024-06-05,,2930000.0,2930000.0,,,,0,no original award inside the window - only later changes were captured,1
F50B0600039,DIT,momentum,2,2,0,2024-02-14,2024-02-14,91080.0,0,344520.0,253440.0,278.26,,0,"awarded in 2024, after the 2022 cutoff - not enough time to have been modified",1
F50B0600044,DIT,jg contracting,1,1,0,2020-11-18,2020-11-18,420320.0,0,420320.0,0.0,0.0,,0,"item covers several vendors, so the money is not one contract's",1
F50B0600045,MDH,optimal solutions and technologies a k a ost,1,1,0,2025-03-19,2025-03-19,2145570.0,0,2145570.0,0.0,0.0,,0,"awarded in 2025, after the 2022 cutoff - not enough time to have been modified",0
F50B2600008,DIT,vtech solutions,11,7,4,2023-05-03,2026-02-18,359331.84,565548.64,3680483.88,3321152.04,924.26,4,0,"awarded in 2023, after the 2022 cutoff - not enough time to have been modified",1
F50B2600034,EDUC,innosoft,2,1,1,2023-11-08,2025-05-07,241362.0,246193.2,487555.2,246193.2,102.0,18,0,"awarded in 2023, after the 2022 cutoff - not enough time to have been modified",0
F50B2600045,DIT,1 1 skyline technology solutions,1,0,1,2023-06-07,2023-06-07,,77625000.0,77625000.0,,,,0,no original award inside the window - only later changes were captured,1
F50B2600048,DIT,.. Inc. Network Group LLC,1,1,0,2022-06-08,2022-06-08,9000000.0,0,9000000.0,0.0,0.0,,0,"item covers several vendors, so the money is not one contract's",1
F50B3400034,DIT,"-- Solutions, Inc. Management LLC Corp d/b/a Tekskills, Inc. Inc. Solutions, Inc.",2,0,2,2016-12-07,2017-06-07,,10490800.0,10490800.0,,,,0,no original award inside the window - only later changes were captured,1
F50B4400006,DIT,"-- Inc. Inc. Technology Services Technology Services River Computer Services, Inc. Computer Concepts Inc. Services, LLC",1,1,0,2020-01-08,2020-01-08,5308302.0,0,5308302.0,0.0,0.0,,0,"item covers several vendors, so the money is not one contract's",1
F50B4400050,DIT,sk net,1,0,1,2016-03-09,2016-03-09,,516120.0,516120.0,,,,0,no original award inside the window - only later changes were captured,0
F50B4400086,DIT,govdelivery,1,0,1,2016-04-27,2016-04-27,,136500.0,136500.0,,,,0,no original award inside the window - only later changes were captured,0
F50B4400105,DIT,triad technology partners,2,0,2,2017-12-20,2026-04-01,,53306597.0,53306597.0,,,,0,no original award inside the window - only later changes were captured,0
F50B4600004,DIT,shi international,1,1,0,2023-11-08,2023-11-08,249977.0,0,249977.0,0.0,0.0,,0,"awarded in 2023, after the 2022 cutoff - not enough time to have been modified",0
F50B4600011,DIT,equinix,1,1,0,2023-10-04,2023-10-04,874763.0,0,874763.0,0.0,0.0,,0,"awarded in 2023, after the 2022 cutoff - not enough time to have been modified",0
F50B4600012,DIT,digital network group,1,1,0,2023-10-04,2023-10-04,995150.0,0,995150.0,0.0,0.0,,0,"awarded in 2023, after the 2022 cutoff - not enough time to have been modified",0
F50B4600013,DIT,carahsoft technology,1,1,0,2023-09-20,2023-09-20,27225.0,0,27225.0,0.0,0.0,,0,"awarded in 2023, after the 2022 cutoff - not enough time to have been modified",0
F50B4600015,DIT,environmental systems research institute,1,1,0,2023-10-04,2023-10-04,2150000.0,0,2150000.0,0.0,0.0,,0,"awarded in 2023, after the 2022 cutoff - not enough time to have been modified",0
F50B4600017,DIT,environmental systems research institute,1,1,0,2023-10-25,2023-10-25,750000.0,0,750000.0,0.0,0.0,,0,"awarded in 2023, after the 2022 cutoff - not enough time to have been modified",0
F50B4600026,DIT,ecg,1,1,0,2024-04-03,2024-04-03,238020.0,0,238020.0,0.0,0.0,,0,"awarded in 2024, after the 2022 cutoff - not enough time to have been modified",0
F50B4600031,EDUC,cw professional services d b a lochbridge,1,1,0,2024-05-01,2024-05-01,878631.19,0,878631.19,0.0,0.0,,0,"awarded in 2024, after the 2022 cutoff - not enough time to have been modified",0
F50B4600035,DIT,tierpoint,1,1,0,2024-10-30,2024-10-30,7500000.0,0,7500000.0,0.0,0.0,,0,"awarded in 2024, after the 2022 cutoff - not enough time to have been modified",0
F50B4600039,DIT,carahsoft technology,1,1,0,2024-06-05,2024-06-05,1011756.53,0,1011756.53,0.0,0.0,,0,"awarded in 2024, after the 2022 cutoff - not enough time to have been modified",0
F50B4600040,DIT,carahsoft technology,1,1,0,2024-06-05,2024-06-05,10930600.0,0,10930600.0,0.0,0.0,,0,"awarded in 2024, after the 2022 cutoff - not enough time to have been modified",0
F50B4600041,SOS/DSD,open law library,1,1,0,2024-06-05,2024-06-05,490000.0,0,490000.0,0.0,0.0,,0,"awarded in 2024, after the 2022 cutoff - not enough time to have been modified",0
F50B5400007,MDH,tierpointmaryland,1,0,1,2025-08-27,2025-08-27,,201159.0,201159.0,,,,0,no original award inside the window - only later changes were captured,0
F50B5600009,DIT,carahsoft technology,1,1,0,2025-02-12,2025-02-12,499700.0,0,499700.0,0.0,0.0,,0,"awarded in 2025, after the 2022 cutoff - not enough time to have been modified",0
F50B5600010,DIT,momentum,1,1,0,2025-03-19,2025-03-19,361376.0,0,361376.0,0.0,0.0,,0,"awarded in 2025, after the 2022 cutoff - not enough time to have been modified",0
F50B56000XX,DIT,carahsoft technology,1,1,0,2024-10-16,2024-10-16,5699250.0,0,5699250.0,0.0,0.0,,0,"awarded in 2024, after the 2022 cutoff - not enough time to have been modified",0
F50B6600005,DIT,motorola solutions,1,1,0,2025-11-19,2025-11-19,203486045.0,0,203486045.0,0.0,0.0,,0,"awarded in 2025, after the 2022 cutoff - not enough time to have been modified",0
F50B6600017,DIT,amazon web services,1,1,0,2026-08-05,2026-08-05,241370000.0,0,241370000.0,0.0,0.0,,0,"awarded in 2026, after the 2022 cutoff - not enough time to have been modified",0
F50B7400012,DIT,alamo city engineering services,1,0,1,2017-07-26,2017-07-26,,29319.0,29319.0,,,,0,no original award inside the window - only later changes were captured,0
F50B7400030,DIT,environmental systems research institute,1,0,1,2017-06-21,2017-06-21,,49151.0,49151.0,,,,0,no original award inside the window - only later changes were captured,0
F50P4600023,DIT,applied technology services,1,1,0,2023-11-29,2023-11-29,699287.15,0,699287.15,0.0,0.0,,0,"awarded in 2023, after the 2022 cutoff - not enough time to have been modified",0
